log 2019.12.19

[  203.978676] PRE_ROUTING[(1, 771, 33527, 127.0.0.1, 127.0.0.1)]
[  219.806431] POST_ROUTING[(6, 44526, 1111, 192.168.56.101, 192.168.56.102)]
[  219.806550] POST_ROUTING[(6, 34602, 2222, 192.168.56.101, 192.168.56.102)]
[  219.806617] POST_ROUTING[(6, 40116, 3333, 192.168.56.101, 192.168.56.102)]
[  219.806698] POST_ROUTING[(6, 39334, 5555, 192.168.56.101, 192.168.56.102)]
[  219.806744] PRE_ROUTING[(6, 1111, 44526, 192.168.56.102, 192.168.56.101)]
[  219.806763] POST_ROUTING[(6, 39344, 4444, 192.168.56.101, 192.168.56.102)]
[  219.806779] POST_ROUTING[(6, 44526, 1111, 192.168.56.101, 192.168.56.102)]
[  219.806792] PRE_ROUTING[(6, 2222, 34602, 192.168.56.102, 192.168.56.101)]
[  219.806814] POST_ROUTING[(6, 34602, 2222, 192.168.56.101, 192.168.56.102)]
[  219.807005] PRE_ROUTING[(6, 3333, 40116, 192.168.56.102, 192.168.56.101)]
[  219.807032] POST_ROUTING[(1, 1281, 33960, 192.168.56.101, 192.168.56.102)]
[  219.807075] FORWARD[(6, 3333, 7777, 192.168.56.102, 111.1.1.0)]
[  219.807081] POST_ROUTING[(6, 3333, 7777, 192.168.56.102, 111.1.1.0)]
[  219.807125] PRE_ROUTING[(6, 5555, 39334, 192.168.56.102, 192.168.56.101)]
[  219.807153] POST_ROUTING[(6, 39334, 5555, 192.168.56.101, 192.168.56.102)]
[  219.807184] PRE_ROUTING[(6, 4444, 39344, 192.168.56.102, 192.168.56.101)]
[  219.807209] POST_ROUTING[(6, 39344, 4444, 192.168.56.101, 192.168.56.102)]
[  220.806182] POST_ROUTING[(6, 40116, 3333, 192.168.56.101, 192.168.56.102)]
[  220.806227] PRE_ROUTING[(6, 3333, 40116, 192.168.56.102, 192.168.56.101)]
[  220.806271] POST_ROUTING[(1, 1281, 33960, 192.168.56.101, 192.168.56.102)]
[  220.806328] FORWARD[(6, 3333, 7777, 192.168.56.102, 111.1.1.0)]
[  220.806349] POST_ROUTING[(6, 3333, 7777, 192.168.56.102, 111.1.1.0)]
[  220.806607] PRE_ROUTING[(6, 3333, 40116, 192.168.56.102, 192.168.56.101)]
[  220.806636] FORWARD[(6, 3333, 7777, 192.168.56.102, 111.1.1.0)]
[  220.806655] POST_ROUTING[(6, 3333, 7777, 192.168.56.102, 111.1.1.0)]
[  221.947982] POST_ROUTING[(6, 39344, 4444, 192.168.56.101, 192.168.56.102)]
[  221.948056] POST_ROUTING[(6, 39334, 5555, 192.168.56.101, 192.168.56.102)]
[  221.948118] POST_ROUTING[(6, 34602, 2222, 192.168.56.101, 192.168.56.102)]
[  221.948166] POST_ROUTING[(6, 44526, 1111, 192.168.56.101, 192.168.56.102)]
[  221.949867] PRE_ROUTING[(6, 1111, 44526, 192.168.56.102, 192.168.56.101)]
[  221.949921] PRE_ROUTING[(6, 2222, 34602, 192.168.56.102, 192.168.56.101)]
[  221.949950] PRE_ROUTING[(6, 5555, 39334, 192.168.56.102, 192.168.56.101)]
[  221.949991] PRE_ROUTING[(6, 4444, 39344, 192.168.56.102, 192.168.56.101)]
[  222.806201] POST_ROUTING[(1, 769, 63145, 192.168.56.101, 192.168.56.102)]
[  222.806292] POST_ROUTING[(1, 769, 63145, 192.168.56.101, 192.168.56.102)]
[  222.806539] PRE_ROUTING[(6, 3333, 40116, 192.168.56.102, 192.168.56.101)]
[  222.806551] FORWARD[(6, 3333, 7777, 192.168.56.102, 111.1.1.0)]
[  222.806556] POST_ROUTING[(6, 3333, 7777, 192.168.56.102, 111.1.1.0)]
[  224.357912] PRE_ROUTING[(6, 5555, 39334, 192.168.56.102, 192.168.56.101)]
[  224.357940] POST_ROUTING[(6, 39334, 5555, 192.168.56.101, 192.168.56.102)]
[  224.358547] PRE_ROUTING[(6, 4444, 39344, 192.168.56.102, 192.168.56.101)]
[  224.358565] POST_ROUTING[(6, 39344, 4444, 192.168.56.101, 192.168.56.102)]
[  224.358877] PRE_ROUTING[(6, 2222, 34602, 192.168.56.102, 192.168.56.101)]
[  224.358893] POST_ROUTING[(6, 34602, 2222, 192.168.56.101, 192.168.56.102)]
[  224.358934] PRE_ROUTING[(6, 1111, 44526, 192.168.56.102, 192.168.56.101)]
[  224.358946] POST_ROUTING[(6, 44526, 1111, 192.168.56.101, 192.168.56.102)]
[  225.806251] POST_ROUTING[(1, 769, 63145, 192.168.56.101, 192.168.56.102)]

